+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge                                         |  0.24 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                                          | stronghold          |
|  21 | minecraft:jungle                           | Jungle                                                     |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           | stronghold, village |
|  22 | minecraft:jungle_hills                     | JungleHills                                                |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HILLS, HOT, JUNGLE, WET                                    | stronghold          |
|  23 | minecraft:jungle_edge                      | JungleEdge                                                 |  0.95 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, HOT, JUNGLE, RARE, WET                                    | stronghold          |
|  24 | minecraft:deep_ocean                       | Deep Ocean                                                 |  0.50 | OCEAN    | 0.50 | false | true    | COOL       | OCEAN, WATER                                                      |                     |
|  25 | minecraft:stone_beach                      | Stone Beach                                                |  0.20 | MEDIUM   | 0.30 | false | false   | COOL       | BEACH                                                             | stronghold          |
|  26 | minecraft:cold_beach                       | Cold Beach                                                 |  0.05 | COLD     | 0.30 |  true | false   | ICY        | BEACH, COLD, SNOWY                                                |                     |
|  27 | minecraft:birch_forest                     | Birch Forest                                               |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, THEMED_TREES                                 | stronghold          |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills                                         |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, HILLS, THEMED_TREES                          | stronghold          |
|  29 | minecraft:roofed_forest                    | Roofed Forest                                              |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES                  | stronghold          |
|  30 | minecraft:taiga_cold                       | Cold Taiga                                                 | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold          |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills                                           | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                            | stronghold          |
|  32 | minecraft:redwood_taiga                    | Mega Taiga                                                 |  0.30 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES          | stronghold          |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills                                           |  0.30 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES   | stronghold          |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+                                             |  0.24 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                                          | stronghold          |
|  35 | minecraft:savanna                          | Savanna                                                    |  1.20 | WARM     | 0.00 | false | false   | DESERT     | HOT, PLAINS, SAVANNA, SPARSE                                      | stronghold, village |
|  36 | minecraft:savanna_rock                     | Savanna Plateau                                            |  1.00 | WARM     | 0.00 | false | false   | DESERT     | HOT, PLAINS, RARE, SAVANNA, SPARSE                                | stronghold          |
|  37 | minecraft:mesa                             | Mesa                                                       |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, MESA, SANDY                                                  | stronghold          |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F                                             |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, MESA, SANDY, SPARSE                                          | stronghold          |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau                                               |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, MESA, SANDY                                                  | stronghold          |
|  40 | biomesoplenty:gravel_beach                 | Gravel Beach                                               |  0.60 | MEDIUM   | 0.50 | false | false   |            | BEACH                                                             |                     |
|  41 | biomesoplenty:white_beach                  | White Beach                                                |  1.00 | WARM     | 0.95 | false | false   |            | BEACH                                                             |                     |
|  42 | biomesoplenty:origin_beach                 | Origin Beach                                               |  0.60 | MEDIUM   | 0.60 | false | false   |            | BEACH, RARE                                                       |                     |
|  43 | biomesoplenty:alps                         | Alps                                                       | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, MOUNTAIN, SNOWY                                        | stronghold          |
|  44 | biomesoplenty:bamboo_forest                | Bamboo Forest                                              |  0.90 | MEDIUM   | 0.85 | false | false   |            | DENSE, FOREST, JUNGLE, WET                                        | stronghold          |
|  45 | biomesoplenty:bayou                        | Bayou                                                      |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, SWAMP, WET                                            |                     |
|  46 | biomesoplenty:bog                          | Bog                                                        |  0.50 | MEDIUM   | 0.90 | false | false   |            | COLD, FOREST, SWAMP, WET                                          |                     |
|  47 | biomesoplenty:boreal_forest                | Boreal Forest                                              |  0.30 | MEDIUM   | 0.60 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST, HILLS                            | stronghold          |
|  48 | biomesoplenty:brushland                    | Brushland                                                  |  1.50 | WARM     | 0.10 | false | false   |            | DRY, HOT, SAVANNA, SPARSE                                         | stronghold          |
|  49 | biomesoplenty:chaparral                    | Chaparral                                                  |  0.80 | MEDIUM   | 0.40 | false | false   |            | DRY, PLAINS                                                       | stronghold          |
|  50 | biomesoplenty:cherry_blossom_grove         | Cherry Blossom Grove                                       |  0.55 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, WET                                 |                     |
|  51 | biomesoplenty:cold_desert                  | Cold Desert                                                |  0.20 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, SNOWY                                                  |                     |
|  52 | biomesoplenty:coniferous_forest            | Coniferous Forest                                          |  0.45 | MEDIUM   | 0.50 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | stronghold          |
|  53 | biomesoplenty:crag                         | Crag                                                       |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND                    | stronghold          |
|  54 | biomesoplenty:dead_forest                  | Dead Forest                                                |  0.30 | MEDIUM   | 0.30 | false | false   |            | COLD, DEAD, DRY, FOREST, SPARSE                                   | stronghold          |
|  55 | biomesoplenty:dead_swamp                   | Dead Swamp                                                 |  0.60 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET                            |                     |
|  56 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest                                          |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, WET                                  |                     |
|  57 | biomesoplenty:fen                          | Fen                                                        |  0.40 | MEDIUM   | 0.40 | false | false   |            | COLD, DEAD, DENSE, FOREST, SWAMP, WET                             |                     |
|  58 | biomesoplenty:flower_field                 | Flower Field                                               |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, PLAINS                                                      |                     |
|  59 | biomesoplenty:grassland                    | Grassland                                                  |  0.60 | MEDIUM   | 0.70 | false | false   |            | HILLS, PLAINS, WET                                                |                     |
|  60 | biomesoplenty:grove                        | Grove                                                      |  0.60 | MEDIUM   | 0.80 | false | false   |            | FOREST, LUSH, PLAINS, SPARSE, WET                                 | stronghold          |
|  61 | biomesoplenty:highland                     | Highland                                                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | HILLS, MOUNTAIN, WET                                              | stronghold          |
|  62 | biomesoplenty:land_of_lakes                | Land of Lakes                                              |  0.50 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WET                                         |                     |
|  63 | biomesoplenty:lavender_fields              | Lavender Fields                                            |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, MAGICAL, PLAINS                                             |                     |
|  64 | biomesoplenty:lush_desert                  | Lush Desert                                                |  1.20 | WARM     | 0.40 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            |                     |
|  65 | biomesoplenty:lush_swamp                   | Lush Swamp                                                 |  0.70 | MEDIUM   | 1.00 | false | false   |            | DENSE, LUSH, SWAMP, WET                                           |                     |
|  66 | biomesoplenty:mangrove                     | Mangrove                                                   |  0.85 | MEDIUM   | 0.30 | false | false   |            | DENSE, LUSH, SWAMP, WATER, WET                                    |                     |
|  67 | biomesoplenty:maple_woods                  | Maple Woods                                                |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | stronghold          |
|  68 | biomesoplenty:marsh                        | Marsh                                                      |  0.60 | MEDIUM   | 0.80 | false | false   |            | LUSH, WET                                                         |                     |
|  69 | biomesoplenty:meadow                       | Meadow                                                     |  0.40 | MEDIUM   | 0.70 | false | false   |            | COLD, FOREST, LUSH, PLAINS, SPARSE, WET                           |                     |
|  70 | biomesoplenty:moor                         | Moor                                                       |  0.60 | MEDIUM   | 1.00 | false | false   |            | HILLS, SWAMP, WET                                                 | stronghold          |
|  71 | biomesoplenty:mountain                     | Mountain                                                   |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, MOUNTAIN, SPARSE                                     | stronghold          |
|  72 | biomesoplenty:mystic_grove                 | Mystic Grove                                               |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, RARE, WET                           |                     |
|  73 | biomesoplenty:ominous_woods                | Ominous Woods                                              |  0.60 | MEDIUM   | 0.60 | false | false   |            | DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET                   | stronghold          |
|  74 | biomesoplenty:orchard                      | Orchard                                                    |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, PLAINS                                       |                     |
|  75 | biomesoplenty:outback                      | Outback                                                    |  2.00 | WARM     | 0.05 | false | false   |            | DRY, HOT, SANDY, SAVANNA, SPARSE                                  | stronghold          |
|  76 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs                                           |  0.95 | MEDIUM   | 0.75 | false | false   |            | DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET                         | stronghold          |
|  77 | biomesoplenty:prairie                      | Prairie                                                    |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               |                     |
|  78 | biomesoplenty:quagmire                     | Quagmire                                                   |  0.60 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       |                     |
|  79 | biomesoplenty:rainforest                   | Rainforest                                                 |  0.95 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, HILLS, JUNGLE, LUSH, WET                           | stronghold          |
|  80 | biomesoplenty:redwood_forest               | RedwoodForest                                              |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold          |
|  81 | biomesoplenty:sacred_springs               | Sacred Springs                                             |  0.85 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET                   |                     |
|  82 | biomesoplenty:seasonal_forest              | Seasonal Forest                                            |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST                                               | stronghold          |
|  83 | biomesoplenty:shield                       | Shield                                                     |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST, WET                                          |                     |
|  84 | biomesoplenty:shrubland                    | Shrubland                                                  |  0.60 | MEDIUM   | 0.05 | false | false   |            | DRY, PLAINS, SPARSE                                               | stronghold          |
|  85 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest                                    | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, CONIFEROUS, DENSE, FOREST, SNOWY                            | stronghold          |
|  86 | biomesoplenty:snowy_forest                 | Snowy Forest                                               | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, FOREST, SNOWY, SPARSE, WET                                  | stronghold          |
|  87 | biomesoplenty:steppe                       | Steppe                                                     |  0.75 | MEDIUM   | 0.10 | false | false   |            | DRY, PLAINS, SANDY                                                | stronghold          |
|  88 | biomesoplenty:temperate_rainforest         | Temperate Rainforest                                       |  0.75 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, LUSH, WET                                          | stronghold          |
|  89 | biomesoplenty:tropical_rainforest          | Tropical Rainforest                                        |  1.00 | WARM     | 1.00 | false | false   |            | DENSE, HOT, JUNGLE, LUSH, WET                                     | stronghold          |
|  90 | biomesoplenty:tundra                       | Tundra                                                     |  0.20 | MEDIUM   | 0.50 | false | false   |            | COLD, DEAD, SPARSE, WASTELAND, WET                                |                     |
|  91 | biomesoplenty:wasteland                    | Wasteland                                                  |  2.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, SPARSE, WASTELAND                                      | stronghold          |
|  92 | biomesoplenty:wetland                      | Wetland                                                    |  0.60 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, SWAMP, WET                                   |                     |
|  93 | biomesoplenty:woodland                     | Woodland                                                   |  0.70 | MEDIUM   | 0.50 | false | false   |            | DENSE, DRY, FOREST                                                |                     |
|  94 | biomesoplenty:xeric_shrubland              | Xeric Shrubland                                            |  1.75 | WARM     | 0.10 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            |                     |
|  95 | biomesoplenty:alps_foothills               | AlpsFoothills                                              | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE                        | stronghold          |
|  96 | biomesoplenty:mountain_foothills           | MountainFoothills                                          |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, HILLS, MOUNTAIN, SPARSE                              | stronghold          |
|  97 | biomesoplenty:redwood_forest_edge          | RedwoodForestEdge                                          |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold          |
|  98 | biomesoplenty:pasture                      | Pasture                                                    |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               |                     |
|  99 | biomesoplenty:glacier                      | Glacier                                                    | -0.50 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold          |
| 100 | biomesoplenty:oasis                        | Oasis                                                      |  2.00 | WARM     | 0.50 | false | false   |            | HOT, JUNGLE, LUSH, SANDY, SPARSE, WET                             |                     |
| 101 | biomesoplenty:snowy_tundra                 | SnowyTundra                                                |  0.00 | COLD     | 0.50 | false | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET                         |                     |
| 102 | biomesoplenty:coral_reef                   | Coral Reef                                                 |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                     |
| 103 | biomesoplenty:kelp_forest                  | Kelp Forest                                                |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                     |
| 104 | biomesoplenty:origin_island                | Origin Island                                              |  0.60 | MEDIUM   | 0.60 | false | false   |            | FOREST, RARE, WATER                                               |                     |
| 105 | biomesoplenty:tropical_island              | Tropical Island                                            |  0.95 | MEDIUM   | 1.00 | false | false   |            | DENSE, JUNGLE, LUSH, WATER, WET                                   |                     |
| 106 | biomesoplenty:volcanic_island              | Volcanic Island                                            |  1.20 | WARM     | 0.20 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER                        | stronghold          |
| 107 | biomesoplenty:flower_island                | Flower Island                                              |  0.80 | MEDIUM   | 0.80 | false | false   |            | DENSE, LUSH, MAGICAL, PLAINS, WATER                               | stronghold          |
| 108 | biomesoplenty:corrupted_sands              | Corrupted Sands                                            |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, DRY, HOT, NETHER, SANDY                                    | stronghold          |
| 109 | biomesoplenty:fungi_forest                 | Fungi Forest                                               |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, HOT, MUSHROOM, NETHER                                      | stronghold          |
| 110 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno                                     |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND                      | stronghold          |
| 111 | biomesoplenty:undergarden                  | Undergarden                                                |  2.00 | WARM     | 0.00 | false | false   |            | HOT, LUSH, NETHER                                                 | stronghold          |
| 112 | biomesoplenty:visceral_heap                | Visceral Heap                                              |  2.00 | WARM     | 0.00 | false | false   |            | HOT, NETHER, WET                                                  | stronghold          |
| 113 | thaumcraft:magical_forest                  | Magical Forest                                             |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                                   | stronghold          |
| 114 | thaumcraft:eerie                           | Eerie                                                      |  0.80 | MEDIUM   | 0.50 | false | false   | COOL, WARM | MAGICAL, SPOOKY                                                   | stronghold          |
| 115 | thaumcraft:eldritch                        | Outer Lands                                                |  0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                                              | stronghold          |
| 116 | twilightforest:twilight_lake               | Twilight Lake                                              |  0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                                            |                     |
| 117 | twilightforest:twilight_forest             | Twilight Forest                                            |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, TWILIGHT                                                  | stronghold          |
| 118 | twilightforest:dense_twilight_forest       | Dense Twilight Forest                                      |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                                           | stronghold          |
| 119 | twilightforest:twilight_highlands          | Twilight Highlands                                         |  0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT                            | stronghold          |
| 120 | twilightforest:mushroom_forest             | Mushroom Forest                                            |  0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold          |
| 121 | twilightforest:twilight_swamp              | Twilight Swamp                                             |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, TWILIGHT, WET                                              |                     |
| 122 | twilightforest:twilight_stream             | Twilight Stream                                            |  0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, TWILIGHT, WATER                                            |                     |
| 123 | twilightforest:snowy_forest                | Snowy Forest                                               |  0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT                         | stronghold          |
| 124 | twilightforest:twilight_glacier            | Twilight Glacier                                           |  0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                                  | stronghold          |
| 125 | twilightforest:twilight_clearing           | Twilight Clearing                                          |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                                          | stronghold          |
| 126 | twilightforest:oak_savannah                | Oak Savanna                                                |  0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                                          | stronghold          |
| 127 | minecraft:void                             | The Void                                                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold          |
| 128 | twilightforest:firefly_forest              | Firefly Forest                                             |  0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                                            | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains                                           |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS, RARE                                                      | stronghold, village |
| 130 | minecraft:mutated_desert                   | Desert M                                                   |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, RARE, SANDY                                             | stronghold, village |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M                                            |  0.24 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest                                              |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, HILLS, RARE                                               | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                                                    |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold, village |
| 134 | minecraft:mutated_swampland                | Swampland M                                                |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | HILLS, RARE, SWAMP, WET                                           | village             |
| 135 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest                                       |  0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold          |
| 136 | twilightforest:dark_forest                 | Dark Forest                                                |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                                   | stronghold          |
| 137 | twilightforest:enchanted_forest            | Enchanted Forest                                           |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                                         | stronghold          |
| 138 | twilightforest:fire_swamp                  | Fire Swamp                                                 |  1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                                   | stronghold          |
| 139 | twilightforest:dark_forest_center          | Dark Forest Center                                         |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT                          | stronghold          |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes                                          |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, HILLS, RARE, SNOWY                                          | stronghold, village |
| 141 | twilightforest:highlands_center            | Final Plateau                                              |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                              | stronghold          |
| 142 | twilightforest:thornlands                  | Thornlands                                                 |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                             | stronghold          |
| 143 | twilightforest:spooky_forest               | Spooky Forest                                              |  0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                             | stronghold          |
| 144 | atum:dead_oasis                            | Dead Oasis                                                 |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DEAD, DRY, HOT, RARE, SANDY, SPARSE                         | stronghold          |
| 145 | atum:deadwood_forest                       | Deadwood Forest                                            |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, FOREST, HOT, SANDY, SPARSE                             | stronghold          |
| 146 | atum:dried_river                           | Dried River                                                |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, RIVER, SANDY, SPARSE, WATER                       |                     |
| 147 | atum:limestone_crags                       | Limestone Crags                                            |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, RARE, SANDY, SPARSE                        | stronghold          |
| 148 | atum:limestone_mountains                   | Limestone Mountains                                        |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, MOUNTAIN, SANDY, SPARSE                           | stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                                                   |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold, village |
| 150 | atum:oasis                                 | Oasis                                                      |  2.00 | WARM     | 0.00 | false | false   |            | LUSH, OASIS, RARE, WET                                            | stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                                               |  0.95 | MEDIUM   | 0.80 | false | false   | WARM       | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold          |
| 152 | atum:sand_dunes                            | Sand Dunes                                                 |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                              | stronghold          |
| 153 | atum:sand_hills                            | Sand Hills                                                 |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                              | stronghold          |
| 154 | atum:sand_plains                           | Sand Plains                                                |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, PLAINS, SANDY, SPARSE                             | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                                             |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold          |
